camp_name,emergency_plan_name,country,city,capacity
Brazil Earthquake relief,UN Earthquake Relief Plan,Brazil,Sao Paolo,1450
Argentina Earthquake Relief,UN Earthquake Relief Plan,Argentina,Buenos Aires,1000
Ecuador Earthquake Relief,UN Earthquake Relief Plan,Ecuador,Quito,250
No Brainer,Peace Corp War Zone Relief,Germany,Munich,1200
Neutral Peace Zone,Peace Corp War Zone Relief,Switzerland,Zurich,300
Tesla Refugee Camp,Elon Musk's Nuclear Destruction Plan,Egypt,Cairo,500
Amazon Fulfillment Centre,Elon Musk's Nuclear Destruction Plan,Libya,Tripoli,200
Astrazeneca,Bill Gates Vaccination Center,Georgia,Tbilisi,300
BioNTech,Bill Gates Vaccination Center,Estonia,Tallinn,330
Moderna,Bill Gates Vaccination Center,France,Marseilles ,310
